Name,ID
Sri Lankan Students Association,197
Student Association of Sinology,198
AMS Ceili Club at UBC,199
AMS Central Asian Student Union (CASU) at UBC,200
AMS Climate Justice at UBC,201
AMS Colombian Student Association at UBC,202
AMS Columbia Student Association,203
AMS Content Creators Club @ UBC,204
AMS Crohn's and Colitis Canada @UBC,205
AMS DEVEC at UBC,206
Arts Co-op Student Association,207
AMS Tea Ceremony Club at UBC,208
UBC Thai Aiyara,209
Thaqalayn Muslim Association (TMA),210
The Aviary Climbing Club,211
The Manufacturing Engineering Undergraduate Club of the University of British Columbia,212
The Navigators,213
The Salsa Rueda Club,214
The UBC Astronomy Club,215
The UBC Birding Club,216
The UBC Engineering Physics Student Association,217
The UBC Pottery Club,218
UBC Third World Eye Care Society,219
Thunderbird Dance Team,220
Thunderbird Marching Band,221
UBC Trading Group,222
UBC AMS Triathlon Club,223
Twilight,224
UBC AMS English Students' Association,225
UBC AMS Neuroscience Association,226
UBC Archers,227
UBC BCIT Biotechnology Club,228
UBC Badminton Club,229
UBC Ballet Club,230
UBC Bangladeshi Students' Association,231
UBC Bhangra Club,232
UBC BizTech,233
UBC Blockchain Club,234
UBC Botany Enthusiasts Club,235
UBC Brewing Club,236
UBC Canadian Liver Foundation,237
UBC Chess Club,238
UBC Chinese Hanmai Club at UBC,239
UBC Chinese Students and Scholars Association,240
UBC Club HK,241
UBC Cooking Club,242
UBC Dance Club,243
UBC Debate Society,244
UBC Dollar Project,245
UBC Economics Student Association,246
UBC Equestrian Club,247
UBC Esports Association,248
UBC Fencing Club,249
UBC Film Society,250
UBC Finance Association,251
UBC Food Science Club,252
UBC Foundation of International Medical Relief for Children,253
UBC Game Show Club,254
UBC German Student Association,255
UBC Gluten-Free and Celiac Students,256
UBC Go Club,257
UBC History Students Association,258
UBC Human Resources Management Club,259
UBC Improv,260
UBC Institute of Transportation Engineers (ITE) Student Chapter,261
UBC Ismaili Students Association,262
UBC Jazz Club at AMS,263
UBC Junoon,264
UBC K-Wave,265
UBC Kung Fu Association,266
UBC Latin Dance Club,267
UBC Law and Society Chats,268
UBC Logger's Sports,269
UBC MEXSA,270
UBC Magic Club @ AMS,271
UBC Mahjong Club,272
UBC Mental Health Awareness Club,273
UBC Middle East Studies Students Association,274
UBC Multifaith club,275
UBC Music Initiative,276
UBC Musical Theatre Troupe,277
UBC NOMAS,278
UBC Pakistani Student's Association,279
UBC Political Science Students' Association,280
UBC Pre-Medical Society,281
UBC Quidditch Club,282
UBC Quizbowl Club of the AMS,283
UBC RISE,284
UBC Real Estate Club,285
UBC Sailing Club,286
UBC Scandinavian and Nordic Student Association,287
UBC Shotokan Karate Club,288
UBC Sikh Students' Association,289
UBC Ski and Board,290
UBC Social Enterprise Club,291
UBC Sociology Students' Association,292
UBC Sororities,293
UBC Sprouts Cafe,294
UBC Students Offering Support,295
UBC Students for Partners in Health Canada,296
UBC Supply Chain and Operations Association,297
AMS Dance Horizons,298
AMS Dermatological Health Association at UBC,299
AMS Diabetes Club at UBC,300
AMS Disability Support Free Store at UBC,301
AMS Disc Golf Club @ UBC,302
AMS E-Waste @ UBC,303
AMS Ecuadorian Student Association,304
AMS Egyptian Student Association (ESA) at UBC,305
AMS FED Together at UBC,306
UBC Surf Club,307
UBC Table Tennis Club,308
UBC Tax Assistance Clinic,309
UBC Telugu Students Association at UBC,310
UBC Women in Science Club,311
UBC Wrestling Club,312
UBC Yoga Club,313
UBC Young Liberals of Canada,314
UTSAV UBC- Indian Students' Association,315
Undergraduate Chemistry Society,316
Undergraduate Research Opportunities,317
Undergraduate Statistics Society,318
University Christian Ministries,319
University of British Columbia Integrated Sciences Students Association,320
University of British Columbia Marketing Association,321
University of British Columbia Mechanical Keyboard Society,322
AMS Unlimited Dance Club at UBC (UDC),323
Vancouver Hanfu Culture Association,324
Vancouver Housing Market Club,325
Varsity Outdoor Club,326
Vegans of UBC,327
Vietnamese Student Association,328
Vision Health Volunteers,329
AMS Visual Art Students Association at UBC,330
Voice Acting Club,331
UBC Toastmasters,332
Wargamers of UBC,333
